"","region","council","swim_site","time","enterococci_cfu_100ml","water_temperature_c","conductivity_ms_cm","latitude.x","longitude.x","max_temp_C","min_temp_C","precipitation_mm","log_enterococci","class","year","month","yeojohnson_precip","temp_ec_interact","temp_diff","season"
"1","Western Sydney","Hawkesbury City Council","Windsor Beach","11:00:00",620,0.121634250778816,-5.9386476054063,-33.6044834,150.8170393,20.4,14.2,-0.110605329600697,6.43133108193348,"Poor",2025,4,-0.133164905685036,0.782270137661493,6.2,"Autumn"
"2","Sydney Harbour","North Sydney Council","Hayes Street Beach","11:40:00",64,0.495896349415908,-0.716744553552168,-33.841715,151.219382,20.4,14.2,-0.110605329600697,4.17438726989564,"Good",2025,4,-0.133164905685036,2.07006340818949,6.2,"Autumn"
"3","Sydney Harbour","Willoughby City Council","Northbridge Baths","10:54:00",160,0.495896349415908,-0.289727904718268,-33.806043,151.222754,20.4,14.2,-0.110605329600697,5.08140436498446,"Good",2025,4,-0.133164905685036,2.51984987450186,6.2,"Autumn"
"4","Sydney Harbour","Northern Beaches Council","Fairlight Beach","09:28:00",54,0.495896349415908,0.14773208607081,-33.800731,151.274778,20.4,14.2,-0.110605329600697,4.00733318523247,"Good",2025,4,-0.133164905685036,1.98722189745001,6.2,"Autumn"
"5","Western Sydney","Hawkesbury City Council","Yarramundi Reserve","10:35:00",720,-0.626889946495367,-5.95895410365248,-33.6091226,150.6978862,20.4,14.2,-0.110605329600697,6.58063913728495,"Poor",2025,4,-0.133164905685036,-4.12533651667788,6.2,"Autumn"
"6","Sydney Harbour","Northern Beaches Council","Little Manly Cove","09:19:00",230,0.495896349415908,-1.42573143517585,-33.807232,151.286808,20.4,14.2,-0.110605329600697,5.44241771052179,"Fair",2025,4,-0.133164905685036,2.69887507464424,6.2,"Autumn"
"7","Sydney Harbour","City of Canada Bay Council","Chiswick Baths","13:06:00",120,0.495896349415908,-5.40522490576243,-33.847168,151.142892,20.4,14.2,-0.110605329600697,4.79579054559674,"Good",2025,4,-0.133164905685036,2.37821502412475,6.2,"Autumn"
"8","Sydney Harbour","Inner West Council","Dawn Fraser Pool","08:04:00",280,0.495896349415908,-0.0959458928833179,-33.853237,151.172823,20.4,14.2,-0.110605329600697,5.63835466933375,"Fair",2025,4,-0.133164905685036,2.79603949723474,6.2,"Autumn"
"9","Sydney Harbour","Woollahra Municipal Council","Rose Bay Beach","08:50:00",60,0.870158448053,0.17093951263787,-33.870027,151.265932,20.4,14.2,-0.110605329600697,4.11087386417331,"Good",2025,4,-0.133164905685036,3.57711162179069,6.2,"Autumn"
"10","Sydney Harbour","Woollahra Municipal Council","Camp Cove","09:09:00",100,0.870158448053,0.1825432259214,-33.839395,151.278758,20.4,14.2,-0.110605329600697,4.61512051684126,"Good",2025,4,-0.133164905685036,4.01588610651215,6.2,"Autumn"
"11","Sydney Harbour","Inner West Council","Callan Park Seawall","07:52:00",811.299999999974,0.121634250778816,-0.843225028342645,-33.862333,151.159306,20.4,14.2,-0.110605329600697,6.69986973005688,"Poor",2025,4,-0.133164905685036,0.814933634931139,6.2,"Autumn"
"12","Sydney Harbour","Lane Cove Council","Tambourine Bay","12:09:00",811.299999999974,0.121634250778816,-3.15004322910839,-33.828066,151.161315,20.4,14.2,-0.110605329600697,6.69986973005688,"Poor",2025,4,-0.133164905685036,0.814933634931139,6.2,"Autumn"
"13","Sydney Harbour","Northern Beaches Council","Forty Baskets Pool","09:31:00",180,0.870158448053,-0.386038724971566,-33.803133,151.270604,20.4,14.2,-0.110605329600697,5.19849703126583,"Good",2025,4,-0.133164905685036,4.5235161089344,6.2,"Autumn"
"14","Sydney Harbour","Mosman Municipal Council","Chinamans Beach","11:13:00",26,0.495896349415908,0.00848752666845135,-33.814094,151.248971,20.4,14.2,-0.110605329600697,3.29583686600433,"Good",2025,4,-0.133164905685036,1.63439347012191,6.2,"Autumn"
"15","Sydney Harbour","Lane Cove Council","Greenwich Baths","11:51:00",48,0.495896349415908,-0.64364115986593,-33.84176,151.1829,20.4,14.2,-0.110605329600697,3.89182029811063,"Good",2025,4,-0.133164905685036,1.92993947841579,6.2,"Autumn"
"16","Sydney Harbour","Woollahra Municipal Council","Parsley Bay","09:01:00",540,0.870158448053,-0.0147198998986085,-33.849889,151.276441,20.4,14.2,-0.110605329600697,6.29341927884648,"Poor",2025,4,-0.133164905685036,5.47627195262788,6.2,"Autumn"
"17","Sydney Harbour","Woollahra Municipal Council","Watsons Bay","09:06:00",460,0.495896349415908,-0.0611347530327282,-33.845115,151.280546,20.4,14.2,-0.110605329600697,6.13339804299665,"Fair",2025,4,-0.133164905685036,3.04152969903671,6.2,"Autumn"
"18","Sydney Harbour","Northern Beaches Council","Gurney Crescent Baths","10:05:00",460,0.870158448053,-2.56405570829013,-33.793451,151.235278,20.4,14.2,-0.110605329600697,6.13339804299665,"Fair",2025,4,-0.133164905685036,5.33702812238527,6.2,"Autumn"
"19","Sydney Harbour","The City of Sydney","Darling Harbour","08:20:00",690,0.121634250778816,-5.95895410365248,-33.87129,151.20069,20.4,14.2,-0.110605329600697,6.53813982376767,"Poor",2025,4,-0.133164905685036,0.795261738951123,6.2,"Autumn"
"20","Sydney Harbour","Northern Beaches Council","Clontarf Pool","09:44:00",140,0.870158448053,0.112920946220221,-33.80579,151.25172,20.4,14.2,-0.110605329600697,4.94875989037817,"Good",2025,4,-0.133164905685036,4.3062052259984,6.2,"Autumn"
"21","Sydney Harbour","City of Canada Bay Council","Cabarita Beach","12:29:00",180,0.495896349415908,-0.344265357150858,-33.841448,151.11863,20.4,14.2,-0.110605329600697,5.19849703126583,"Good",2025,4,-0.133164905685036,2.57791570025416,6.2,"Autumn"
"22","Sydney Harbour","Mosman Municipal Council","Edwards Beach","11:17:00",20,0.870158448053,0.17093951263787,-33.82138,151.25283,20.4,14.2,-0.110605329600697,3.04452243772342,"Good",2025,4,-0.133164905685036,2.64921691947195,6.2,"Autumn"
